Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2023 07 07 09	35.156
2023 07 07 10	35.156
2023 07 07 11	35.156
2023 07 07 12	35.156
2023 07 07 13	35.156
2023 07 07 14	35.156
2023 07 07 15	35.156
2023 07 07 16	35.156
2023 07 07 17	35.156
2023 07 07 18	35.156
2023 07 07 19	35.156
2023 07 07 20	35.156
2023 07 07 21	35.156
2023 07 07 22	35.156
2023 07 07 23	35.156
2023 07 08 00	35.003
2023 07 08 01	35.003
2023 07 08 02	35.003
2023 07 08 03	35.003
2023 07 08 04	35.003
2023 07 08 05	35.003
2023 07 08 06	35.003
2023 07 08 07	35.003
2023 07 08 08	35.003
2023 07 08 09	35.003
2023 07 08 10	35.003
2023 07 08 11	35.003
2023 07 08 12	35.003
2023 07 08 13	35.003
2023 07 08 14	35.003
2023 07 08 15	35.003
2023 07 08 16	35.003
2023 07 08 17	35.003
2023 07 08 18	35.003
2023 07 08 19	35.003
2023 07 08 20	35.003
2023 07 08 21	35.003
2023 07 08 22	35.003
2023 07 08 23	35.003
2023 07 09 00	34.93
2023 07 09 01	34.93
2023 07 09 02	34.93
2023 07 09 03	34.93
2023 07 09 04	34.93
2023 07 09 05	34.93
2023 07 09 06	34.93
2023 07 09 07	34.93
2023 07 09 08	34.93
2023 07 09 09	34.93
2023 07 09 10	34.93
2023 07 09 11	34.93
2023 07 09 12	34.93
2023 07 09 13	34.93
2023 07 09 14	34.93
2023 07 09 15	34.93
2023 07 09 16	34.93
2023 07 09 17	34.93
2023 07 09 18	34.93
2023 07 09 19	34.93
2023 07 09 20	34.93
2023 07 09 21	34.93
2023 07 09 22	34.93
2023 07 09 23	34.93
2023 07 10 00	34.967
2023 07 10 01	34.967
2023 07 10 02	34.967
2023 07 10 03	34.967
2023 07 10 04	34.967
2023 07 10 05	34.967
2023 07 10 06	34.967
2023 07 10 07	34.967
2023 07 10 08	34.967
2023 07 10 09	34.967
2023 07 10 10	34.967
2023 07 10 11	34.967
2023 07 10 12	34.967
2023 07 10 13	34.967
2023 07 10 14	34.967
2023 07 10 15	34.967
2023 07 10 16	34.967
2023 07 10 17	34.967
2023 07 10 18	34.967
2023 07 10 19	34.967
2023 07 10 20	34.967
2023 07 10 21	34.967
2023 07 10 22	34.967
2023 07 10 23	34.967
2023 07 11 00	34.953
2023 07 11 01	34.953
2023 07 11 02	34.953
2023 07 11 03	34.953
2023 07 11 04	34.953
2023 07 11 05	34.953
2023 07 11 06	34.953
2023 07 11 07	34.953
2023 07 11 08	34.953
2023 07 11 09	34.953
2023 07 11 10	34.953
2023 07 11 11	34.953
2023 07 11 12	34.953
2023 07 11 13	34.953
2023 07 11 14	34.953
2023 07 11 15	34.953
2023 07 11 16	34.953
2023 07 11 17	34.953
2023 07 11 18	34.953
2023 07 11 19	34.953
2023 07 11 20	34.953
2023 07 11 21	34.953
2023 07 11 22	34.953
2023 07 11 23	34.953
2023 07 12 00	34.919
2023 07 12 01	34.919
2023 07 12 02	34.919
2023 07 12 03	34.919
2023 07 12 04	34.919
2023 07 12 05	34.919
2023 07 12 06	34.919
2023 07 12 07	34.919
2023 07 12 08	34.919
2023 07 12 09	34.919
2023 07 12 10	34.919
2023 07 12 11	34.919
2023 07 12 12	34.919
2023 07 12 13	34.919
2023 07 12 14	34.919
2023 07 12 15	34.919
2023 07 12 16	34.919
2023 07 12 17	34.919
