Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2023 07 04 18	19.572
2023 07 04 19	19.562
2023 07 04 20	19.529
2023 07 04 21	19.485
2023 07 04 22	19.444
2023 07 04 23	19.409
2023 07 05 00	18.954
2023 07 05 01	18.936
2023 07 05 02	18.911
2023 07 05 03	18.888
2023 07 05 04	18.869
2023 07 05 05	18.852
2023 07 05 06	18.845
2023 07 05 07	18.855
2023 07 05 08	18.901
2023 07 05 09	18.991
2023 07 05 10	19.108
2023 07 05 11	19.23
2023 07 05 12	19.36
2023 07 05 13	19.472
2023 07 05 14	19.52
2023 07 05 15	19.515
2023 07 05 16	19.537
2023 07 05 17	19.575
2023 07 05 18	19.57
2023 07 05 19	19.515
2023 07 05 20	19.427
2023 07 05 21	19.331
2023 07 05 22	19.249
2023 07 05 23	19.179
2023 07 06 00	19.117
2023 07 06 01	19.06
2023 07 06 02	19.008
2023 07 06 03	18.957
2023 07 06 04	18.903
2023 07 06 05	18.853
2023 07 06 06	18.831
2023 07 06 07	18.833
2023 07 06 08	18.872
2023 07 06 09	18.948
2023 07 06 10	19.072
2023 07 06 11	19.218
2023 07 06 12	19.378
2023 07 06 13	19.537
2023 07 06 14	19.651
2023 07 06 15	19.719
2023 07 06 16	19.776
2023 07 06 17	19.818
2023 07 06 18	19.825
2023 07 06 19	19.787
2023 07 06 20	19.7
2023 07 06 21	19.586
2023 07 06 22	19.474
2023 07 06 23	19.384
2023 07 07 00	19.309
2023 07 07 01	19.247
2023 07 07 02	19.194
2023 07 07 03	19.147
2023 07 07 04	19.104
2023 07 07 05	19.062
2023 07 07 06	19.033
2023 07 07 07	19.035
2023 07 07 08	19.085
2023 07 07 09	19.186
2023 07 07 10	19.333
2023 07 07 11	19.51
2023 07 07 12	19.703
2023 07 07 13	19.886
2023 07 07 14	20.034
2023 07 07 15	20.134
2023 07 07 16	20.184
2023 07 07 17	20.2
2023 07 07 18	20.19
2023 07 07 19	20.149
2023 07 07 20	20.077
2023 07 07 21	19.984
2023 07 07 22	19.888
2023 07 07 23	19.807
2023 07 08 00	19.748
2023 07 08 01	19.696
2023 07 08 02	19.642
2023 07 08 03	19.587
2023 07 08 04	19.541
2023 07 08 05	19.501
2023 07 08 06	19.472
2023 07 08 07	19.461
2023 07 08 08	19.484
2023 07 08 09	19.543
2023 07 08 10	19.637
2023 07 08 11	19.745
2023 07 08 12	19.844
2023 07 08 13	19.918
2023 07 08 14	20.005
2023 07 08 15	20.08
2023 07 08 16	20.119
2023 07 08 17	20.125
2023 07 08 18	20.086
2023 07 08 19	20.038
2023 07 08 20	19.972
2023 07 08 21	19.893
2023 07 08 22	19.814
2023 07 08 23	19.738
2023 07 09 00	19.685
2023 07 09 01	19.631
2023 07 09 02	19.569
2023 07 09 03	19.51
2023 07 09 04	19.455
2023 07 09 05	19.405
2023 07 09 06	19.364
2023 07 09 07	19.355
2023 07 09 08	19.395
2023 07 09 09	19.483
2023 07 09 10	19.601
2023 07 09 11	19.728
2023 07 09 12	19.844
2023 07 09 13	19.97
2023 07 09 14	20.102
2023 07 09 15	20.21
2023 07 09 16	20.283
2023 07 09 17	20.3
2023 07 09 18	20.264
2023 07 09 19	20.19
2023 07 09 20	20.081
2023 07 09 21	19.956
2023 07 09 22	19.832
2023 07 09 23	19.717
2023 07 10 00	19.606
2023 07 10 01	19.501
2023 07 10 02	19.409
2023 07 10 03	19.332
2023 07 10 04	19.267
2023 07 10 05	19.212
2023 07 10 06	19.176
2023 07 10 07	19.171
2023 07 10 08	19.217
2023 07 10 09	19.312
2023 07 10 10	19.445
2023 07 10 11	19.605
2023 07 10 12	19.78
2023 07 10 13	19.956
2023 07 10 14	20.118
2023 07 10 15	20.251
2023 07 10 16	20.345
2023 07 10 17	20.391
2023 07 10 18	20.386
2023 07 10 19	20.333
2023 07 10 20	20.241
2023 07 10 21	20.139
2023 07 10 22	20.052
2023 07 10 23	19.981
2023 07 11 00	19.922
2023 07 11 01	19.872
2023 07 11 02	19.83
2023 07 11 03	19.792
2023 07 11 04	19.766
2023 07 11 05	19.737
2023 07 11 06	19.715
2023 07 11 07	19.711
2023 07 11 08	19.744
2023 07 11 09	19.829
2023 07 11 10	19.957
2023 07 11 11	20.114
2023 07 11 12	20.284
2023 07 11 13	20.459
2023 07 11 14	20.618
2023 07 11 15	20.726
2023 07 11 16	20.804
2023 07 11 17	20.855
2023 07 11 18	20.853
2023 07 11 19	20.799
2023 07 11 20	20.713
2023 07 11 21	20.622
2023 07 11 22	20.55
2023 07 11 23	20.499
2023 07 12 00	20.473
2023 07 12 01	20.464
2023 07 12 02	20.458
2023 07 12 03	20.449
2023 07 12 04	20.436
2023 07 12 05	20.423
2023 07 12 06	20.41
2023 07 12 07	20.399
2023 07 12 08	20.4
2023 07 12 09	20.409
2023 07 12 10	20.415
2023 07 12 11	20.417
