Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2023 06 28 03	0.044	13.09
2023 06 28 04	0.016	37.56
2023 06 28 05	0.02	174.28
2023 06 28 06	0.047	193.44
2023 06 28 07	0.07	202.55
2023 06 28 08	0.078	211.46
2023 06 28 09	0.072	221.63
2023 06 28 10	0.056	234.34
2023 06 28 11	0.039	253.85
2023 06 28 12	0.028	286.5
2023 06 28 13	0.029	331.69
2023 06 28 14	0.033	353.08
2023 06 28 15	0.026	2.2
2023 06 28 16	0.007	351.86
2023 06 28 17	0.017	208.07
2023 06 28 18	0.037	207.25
2023 06 28 19	0.049	209.16
2023 06 28 20	0.047	212.0
2023 06 28 21	0.033	221.34
2023 06 28 22	0.016	262.87
2023 06 28 23	0.022	341.56
2023 06 29 00	0.04	2.86
2023 06 29 01	0.05	12.65
2023 06 29 02	0.046	18.82
2023 06 29 03	0.029	32.61
2023 06 29 04	0.012	94.76
2023 06 29 05	0.028	169.87
2023 06 29 06	0.052	185.49
2023 06 29 07	0.072	194.42
2023 06 29 08	0.082	199.74
2023 06 29 09	0.083	204.1
2023 06 29 10	0.071	208.35
2023 06 29 11	0.055	211.67
2023 06 29 12	0.052	210.96
2023 06 29 13	0.048	211.37
2023 06 29 14	0.056	209.74
2023 06 29 15	0.073	210.42
2023 06 29 16	0.089	212.27
2023 06 29 17	0.106	213.09
2023 06 29 18	0.116	213.82
2023 06 29 19	0.111	216.25
2023 06 29 20	0.097	220.4
2023 06 29 21	0.074	226.63
2023 06 29 22	0.047	245.05
2023 06 29 23	0.032	287.87
2023 06 30 00	0.04	332.17
2023 06 30 01	0.05	350.9
2023 06 30 02	0.043	358.66
2023 06 30 03	0.02	2.86
2023 06 30 04	0.009	192.52
2023 06 30 05	0.034	195.25
2023 06 30 06	0.055	200.07
2023 06 30 07	0.065	203.42
2023 06 30 08	0.062	205.74
2023 06 30 09	0.053	208.0
2023 06 30 10	0.042	206.56
2023 06 30 11	0.035	197.92
2023 06 30 12	0.04	187.12
2023 06 30 13	0.058	182.96
2023 06 30 14	0.084	185.44
2023 06 30 15	0.103	191.74
2023 06 30 16	0.109	199.26
2023 06 30 17	0.104	206.07
2023 06 30 18	0.089	212.61
2023 06 30 19	0.063	222.45
2023 06 30 20	0.035	247.01
2023 06 30 21	0.029	317.72
2023 06 30 22	0.049	353.01
2023 06 30 23	0.064	6.24
2023 07 01 00	0.063	17.3
2023 07 01 01	0.047	36.38
2023 07 01 02	0.03	80.53
2023 07 01 03	0.033	133.78
2023 07 01 04	0.039	159.27
2023 07 01 05	0.038	176.98
2023 07 01 06	0.032	194.47
2023 07 01 07	0.025	210.57
2023 07 01 08	0.019	224.99
2023 07 01 09	0.015	238.39
2023 07 01 10	0.011	232.12
2023 07 01 11	0.015	198.43
2023 07 01 12	0.038	187.49
2023 07 01 13	0.068	190.98
2023 07 01 14	0.09	196.63
2023 07 01 15	0.099	202.97
2023 07 01 16	0.092	210.43
2023 07 01 17	0.071	221.03
2023 07 01 18	0.045	243.99
2023 07 01 19	0.032	291.8
2023 07 01 20	0.038	330.8
2023 07 01 21	0.048	349.38
2023 07 01 22	0.053	357.83
2023 07 01 23	0.043	1.33
2023 07 02 00	0.023	2.48
2023 07 02 01	0.003	18.43
2023 07 02 02	0.013	184.39
2023 07 02 03	0.018	192.52
2023 07 02 04	0.013	212.47
2023 07 02 05	0.007	293.19
2023 07 02 06	0.019	342.47
2023 07 02 07	0.029	352.14
2023 07 02 08	0.031	354.47
2023 07 02 09	0.027	351.57
2023 07 02 10	0.018	337.61
2023 07 02 11	0.013	282.99
2023 07 02 12	0.023	244.53
2023 07 02 13	0.032	238.73
2023 07 02 14	0.036	245.55
2023 07 02 15	0.035	260.27
2023 07 02 16	0.035	281.3
2023 07 02 17	0.037	302.0
2023 07 02 18	0.04	318.01
2023 07 02 19	0.04	327.09
2023 07 02 20	0.038	334.09
2023 07 02 21	0.035	337.01
2023 07 02 22	0.033	338.83
2023 07 02 23	0.03	338.55
2023 07 03 00	0.026	330.52
2023 07 03 01	0.024	318.36
2023 07 03 02	0.023	309.8
2023 07 03 03	0.022	307.87
2023 07 03 04	0.022	309.47
2023 07 03 05	0.02	313.02
2023 07 03 06	0.019	310.91
2023 07 03 07	0.017	290.55
2023 07 03 08	0.019	258.11
2023 07 03 09	0.026	240.52
2023 07 03 10	0.032	236.3
2023 07 03 11	0.034	240.46
2023 07 03 12	0.032	250.46
2023 07 03 13	0.03	266.18
2023 07 03 14	0.026	285.06
2023 07 03 15	0.024	301.75
2023 07 03 16	0.025	323.13
2023 07 03 17	0.025	341.56
2023 07 03 18	0.024	357.61
2023 07 03 19	0.017	13.24
2023 07 03 20	0.006	51.34
2023 07 03 21	0.011	160.01
2023 07 03 22	0.023	177.51
2023 07 03 23	0.027	182.12
2023 07 04 00	0.025	184.57
2023 07 04 01	0.016	187.12
2023 07 04 02	0.005	180.0
2023 07 04 03	0.005	21.8
2023 07 04 04	0.014	28.3
2023 07 04 05	0.023	36.38
2023 07 04 06	0.029	47.72
2023 07 04 07	0.028	65.22
2023 07 04 08	0.029	101.68
2023 07 04 09	0.041	138.94
2023 07 04 10	0.059	159.44
2023 07 04 11	0.08	169.95
2023 07 04 12	0.091	176.85
2023 07 04 13	0.087	182.63
2023 07 04 14	0.064	189.75
