Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2020 07 02 06	0.054	89.98
2020 07 02 07	0.076	124.93
2020 07 02 08	0.102	141.42
2020 07 02 09	0.116	152.52
2020 07 02 10	0.114	163.58
2020 07 02 11	0.096	174.99
2020 07 02 12	0.066	183.07
2020 07 02 13	0.029	175.15
2020 07 02 14	0.022	76.42
2020 07 02 15	0.052	54.63
2020 07 02 16	0.07	59.2
2020 07 02 17	0.078	75.85
2020 07 02 18	0.091	97.47
2020 07 02 19	0.109	113.76
2020 07 02 20	0.124	124.9
2020 07 02 21	0.128	132.61
2020 07 02 22	0.116	139.03
2020 07 02 23	0.093	140.49
2020 07 03 00	0.067	135.3
2020 07 03 01	0.053	106.12
2020 07 03 02	0.068	75.52
2020 07 03 03	0.094	62.12
2020 07 03 04	0.113	60.77
2020 07 03 05	0.119	67.19
2020 07 03 06	0.121	80.45
2020 07 03 07	0.123	98.32
2020 07 03 08	0.13	115.92
2020 07 03 09	0.135	131.1
2020 07 03 10	0.133	142.68
2020 07 03 11	0.116	153.57
2020 07 03 12	0.087	163.04
2020 07 03 13	0.056	171.28
2020 07 03 14	0.024	176.37
2020 07 03 15	0.006	41.54
2020 07 03 16	0.03	22.4
2020 07 03 17	0.048	23.0
2020 07 03 18	0.057	27.76
2020 07 03 19	0.062	35.23
2020 07 03 20	0.059	46.46
2020 07 03 21	0.057	69.69
2020 07 03 22	0.068	98.43
2020 07 03 23	0.08	111.14
2020 07 04 00	0.085	114.22
2020 07 04 01	0.084	110.25
2020 07 04 02	0.08	100.88
2020 07 04 03	0.08	92.25
2020 07 04 04	0.083	87.37
2020 07 04 05	0.092	85.08
2020 07 04 06	0.103	87.22
2020 07 04 07	0.109	93.63
2020 07 04 08	0.108	105.37
2020 07 04 09	0.103	119.95
2020 07 04 10	0.098	137.85
2020 07 04 11	0.087	156.66
2020 07 04 12	0.072	174.56
2020 07 04 13	0.056	196.77
2020 07 04 14	0.043	229.12
2020 07 04 15	0.043	273.0
2020 07 04 16	0.056	306.38
2020 07 04 17	0.072	332.74
2020 07 04 18	0.081	352.28
2020 07 04 19	0.083	11.08
2020 07 04 20	0.081	30.4
2020 07 04 21	0.076	51.92
2020 07 04 22	0.068	77.31
2020 07 04 23	0.065	102.24
2020 07 05 00	0.064	116.49
2020 07 05 01	0.061	120.27
2020 07 05 02	0.059	117.79
2020 07 05 03	0.061	111.05
2020 07 05 04	0.063	103.56
2020 07 05 05	0.062	95.49
2020 07 05 06	0.067	88.31
2020 07 05 07	0.069	92.52
2020 07 05 08	0.066	109.24
2020 07 05 09	0.062	137.59
2020 07 05 10	0.066	170.64
2020 07 05 11	0.078	197.92
2020 07 05 12	0.092	218.2
2020 07 05 13	0.104	236.97
2020 07 05 14	0.108	254.61
2020 07 05 15	0.106	273.96
2020 07 05 16	0.098	294.12
2020 07 05 17	0.09	318.22
2020 07 05 18	0.083	345.27
2020 07 05 19	0.084	13.7
2020 07 05 20	0.077	46.59
2020 07 05 21	0.076	85.46
2020 07 05 22	0.085	120.09
2020 07 05 23	0.1	146.77
2020 07 06 00	0.11	168.01
2020 07 06 01	0.111	189.37
2020 07 06 02	0.106	214.39
2020 07 06 03	0.108	243.28
2020 07 06 04	0.13	265.21
2020 07 06 05	0.152	281.05
2020 07 06 06	0.155	295.6
2020 07 06 07	0.143	306.82
2020 07 06 08	0.118	312.33
2020 07 06 09	0.091	305.33
2020 07 06 10	0.086	286.78
2020 07 06 11	0.106	271.03
2020 07 06 12	0.143	268.36
2020 07 06 13	0.183	274.04
2020 07 06 14	0.226	284.32
2020 07 06 15	0.266	294.81
2020 07 06 16	0.3	304.4
2020 07 06 17	0.327	312.24
2020 07 06 18	0.337	317.86
2020 07 06 19	0.325	321.35
2020 07 06 20	0.289	322.3
2020 07 06 21	0.242	318.84
