Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2020 07 09 15	35.014
2020 07 09 16	35.014
2020 07 09 17	35.014
2020 07 09 18	35.014
2020 07 09 19	35.014
2020 07 09 20	35.014
2020 07 09 21	35.014
2020 07 09 22	35.014
2020 07 09 23	35.014
2020 07 10 00	35.101
2020 07 10 01	35.101
2020 07 10 02	35.101
2020 07 10 03	35.101
2020 07 10 04	35.101
2020 07 10 05	35.101
2020 07 10 06	35.101
2020 07 10 07	35.101
2020 07 10 08	35.101
2020 07 10 09	35.101
2020 07 10 10	35.101
2020 07 10 11	35.101
2020 07 10 12	35.101
2020 07 10 13	35.101
2020 07 10 14	35.101
2020 07 10 15	35.101
2020 07 10 16	35.101
2020 07 10 17	35.101
2020 07 10 18	35.101
2020 07 10 19	35.101
2020 07 10 20	35.101
2020 07 10 21	35.101
2020 07 10 22	35.101
2020 07 10 23	35.101
2020 07 11 00	35.115
2020 07 11 01	35.115
2020 07 11 02	35.115
2020 07 11 03	35.115
2020 07 11 04	35.115
2020 07 11 05	35.115
2020 07 11 06	35.115
2020 07 11 07	35.115
2020 07 11 08	35.115
2020 07 11 09	35.115
2020 07 11 10	35.115
2020 07 11 11	35.115
2020 07 11 12	35.115
2020 07 11 13	35.115
2020 07 11 14	35.115
2020 07 11 15	35.115
2020 07 11 16	35.115
2020 07 11 17	35.115
2020 07 11 18	35.115
2020 07 11 19	35.115
2020 07 11 20	35.115
2020 07 11 21	35.115
2020 07 11 22	35.115
2020 07 11 23	35.115
2020 07 12 00	35.106
2020 07 12 01	35.106
2020 07 12 02	35.106
2020 07 12 03	35.106
2020 07 12 04	35.106
2020 07 12 05	35.106
2020 07 12 06	35.106
2020 07 12 07	35.106
2020 07 12 08	35.106
2020 07 12 09	35.106
2020 07 12 10	35.106
2020 07 12 11	35.106
2020 07 12 12	35.106
2020 07 12 13	35.106
2020 07 12 14	35.106
2020 07 12 15	35.106
2020 07 12 16	35.106
2020 07 12 17	35.106
2020 07 12 18	35.106
2020 07 12 19	35.106
2020 07 12 20	35.106
2020 07 12 21	35.106
2020 07 12 22	35.106
2020 07 12 23	35.106
2020 07 13 00	35.018
2020 07 13 01	35.018
2020 07 13 02	35.018
2020 07 13 03	35.018
2020 07 13 04	35.018
2020 07 13 05	35.018
2020 07 13 06	35.018
2020 07 13 07	35.018
2020 07 13 08	35.018
2020 07 13 09	35.018
2020 07 13 10	35.018
2020 07 13 11	35.018
2020 07 13 12	35.018
2020 07 13 13	35.018
2020 07 13 14	35.018
2020 07 13 15	35.018
2020 07 13 16	35.018
2020 07 13 17	35.018
2020 07 13 18	35.018
