Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2020 06 26 12	0.81	5.85	10.01	331	0.0	180	0.62	9.43	334	0.52	4.29	326
2020 06 26 13	0.8	5.87	10.01	331	0.0	180	0.61	9.38	334	0.52	4.32	327
2020 06 26 14	0.79	5.88	10.01	331	0.0	180	0.6	9.33	333	0.51	4.34	327
2020 06 26 15	0.78	5.88	10.01	331	0.0	180	0.59	9.28	333	0.51	4.36	327
2020 06 26 16	0.77	5.85	10.01	331	0.02	88	0.58	9.23	333	0.5	4.4	328
2020 06 26 17	0.76	5.7	10.01	331	0.05	90	0.76	5.91	331	0.01	14.44	79
2020 06 26 18	0.75	4.97	10.01	331	0.11	91	0.74	5.9	331	0.01	14.44	79
2020 06 26 19	0.78	3.56	10.01	334	0.27	91	0.72	5.9	331	0.01	14.42	79
2020 06 26 20	0.77	3.77	9.1	340	0.31	90	0.7	5.99	331	0.09	2.2	36
2020 06 26 21	0.74	4.08	9.1	340	0.17	96	0.67	5.93	331	0.24	2.41	79
2020 06 26 22	0.7	4.28	9.1	340	0.0	180	0.64	5.83	331	0.27	2.25	81
2020 06 26 23	0.66	4.36	9.1	339	0.0	180	0.53	6.5	326	0.29	4.31	345
2020 06 27 00	0.63	4.41	9.1	338	0.0	180	0.58	5.57	330	0.22	2.35	79
2020 06 27 01	0.61	4.59	9.1	335	0.0	180	0.58	5.55	329	0.19	2.32	78
2020 06 27 02	0.65	4.95	9.1	330	0.0	180	0.4	5.04	334	0.4	10.75	337
2020 06 27 03	0.71	5.35	8.27	327	0.0	180	0.51	5.82	332	0.39	5.51	306
2020 06 27 04	0.73	5.59	8.27	325	0.0	180	0.63	5.53	318	0.36	8.93	338
2020 06 27 05	0.72	5.65	8.27	323	0.0	180	0.57	5.77	314	0.3	8.73	327
2020 06 27 06	0.69	5.64	9.1	322	0.0	180	0.48	5.31	309	0.48	8.89	330
2020 06 27 07	0.66	5.64	9.1	321	0.0	180	0.46	5.2	308	0.46	8.86	330
2020 06 27 08	0.67	5.73	8.27	320	0.0	180	0.65	6.21	318	0.16	3.6	354
2020 06 27 09	0.7	5.88	8.27	320	0.0	180	0.68	6.26	318	0.14	3.52	355
2020 06 27 10	0.72	5.98	8.27	320	0.0	180	0.71	6.21	319	0.11	3.42	359
2020 06 27 11	0.73	6.0	8.27	319	0.0	180	0.73	6.19	319	0.09	3.22	1
2020 06 27 12	0.74	5.72	8.27	319	0.09	336	0.73	6.18	319	0.04	4.57	359
2020 06 27 13	0.77	5.24	8.27	319	0.0	180	0.77	5.24	319	0.01	14.42	79
2020 06 27 14	0.79	5.45	9.1	319	0.0	180	0.79	5.45	319	0.01	14.42	79
2020 06 27 15	0.83	5.64	9.1	318	0.0	180	0.83	5.64	318	0.01	14.42	79
2020 06 27 16	0.84	5.7	9.1	318	0.0	180	0.84	5.7	318	0.01	14.42	79
2020 06 27 17	0.83	5.72	9.1	319	0.0	180	0.83	5.72	319	0.01	14.42	79
2020 06 27 18	0.83	5.73	9.1	320	0.0	180	0.83	5.73	320	0.01	14.44	79
2020 06 27 19	0.83	5.78	9.1	321	0.0	180	0.83	5.78	321	0.01	14.44	79
2020 06 27 20	0.83	5.88	9.1	322	0.0	180	0.83	5.88	322	0.01	14.44	79
2020 06 27 21	0.84	6.03	9.1	323	0.0	180	0.84	6.03	323	0.01	14.44	79
2020 06 27 22	0.86	6.19	9.1	325	0.0	180	0.86	6.19	325	0.01	15.68	80
2020 06 27 23	0.89	6.3	9.1	325	0.0	180	0.89	6.3	325	0.01	15.7	80
2020 06 28 00	0.9	6.32	9.1	326	0.0	180	0.9	6.33	326	0.01	15.68	80
2020 06 28 01	0.92	6.33	9.1	326	0.0	180	0.92	6.34	326	0.01	15.68	80
2020 06 28 02	0.91	6.29	9.1	325	0.0	180	0.91	6.29	325	0.01	15.68	80
