Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2020 07 22 05	18.857
2020 07 22 06	18.808
2020 07 22 07	18.761
2020 07 22 08	18.757
2020 07 22 09	18.826
2020 07 22 10	18.915
2020 07 22 11	18.985
2020 07 22 12	19.029
2020 07 22 13	19.152
2020 07 22 14	19.419
2020 07 22 15	19.833
2020 07 22 16	20.269
2020 07 22 17	20.512
2020 07 22 18	20.451
2020 07 22 19	20.319
2020 07 22 20	20.213
2020 07 22 21	20.108
2020 07 22 22	19.986
2020 07 22 23	19.855
2020 07 23 00	19.713
2020 07 23 01	19.564
2020 07 23 02	19.41
2020 07 23 03	19.33
2020 07 23 04	19.354
2020 07 23 05	19.368
2020 07 23 06	19.343
2020 07 23 07	19.297
2020 07 23 08	19.297
2020 07 23 09	19.353
2020 07 23 10	19.439
2020 07 23 11	19.511
2020 07 23 12	19.563
2020 07 23 13	19.63
2020 07 23 14	19.769
2020 07 23 15	19.986
2020 07 23 16	20.218
2020 07 23 17	20.339
2020 07 23 18	20.309
2020 07 23 19	20.237
2020 07 23 20	20.165
2020 07 23 21	20.108
2020 07 23 22	20.049
2020 07 23 23	19.985
2020 07 24 00	19.902
2020 07 24 01	19.788
2020 07 24 02	19.649
2020 07 24 03	19.504
2020 07 24 04	19.442
2020 07 24 05	19.458
2020 07 24 06	19.467
2020 07 24 07	19.456
2020 07 24 08	19.409
2020 07 24 09	19.387
2020 07 24 10	19.438
2020 07 24 11	19.547
2020 07 24 12	19.663
2020 07 24 13	19.754
2020 07 24 14	19.837
2020 07 24 15	19.954
2020 07 24 16	20.119
2020 07 24 17	20.3
2020 07 24 18	20.422
2020 07 24 19	20.392
2020 07 24 20	20.287
2020 07 24 21	20.189
2020 07 24 22	20.116
2020 07 24 23	20.049
2020 07 25 00	19.976
2020 07 25 01	19.888
2020 07 25 02	19.779
2020 07 25 03	19.637
2020 07 25 04	19.485
2020 07 25 05	19.352
2020 07 25 06	19.264
2020 07 25 07	19.226
2020 07 25 08	19.242
2020 07 25 09	19.332
2020 07 25 10	19.482
2020 07 25 11	19.645
2020 07 25 12	19.775
2020 07 25 13	19.905
2020 07 25 14	20.031
2020 07 25 15	20.127
2020 07 25 16	20.151
2020 07 25 17	20.18
2020 07 25 18	20.282
2020 07 25 19	20.377
2020 07 25 20	20.368
2020 07 25 21	20.274
2020 07 25 22	20.158
2020 07 25 23	20.048
2020 07 26 00	19.945
2020 07 26 01	19.849
2020 07 26 02	19.76
